label,text
Hiv/Aids,"I feel sick in the morning, every day."
Cystic Fibrosis,"Lately, I noticed lung infections, which is unusual for me."
Meniere's Disease,"It started with tinnitus, but now it's spreading."
Diphtheria,Even small movements leave me out of breath
Drug Reaction,"It started with cough, but now it's spreading."
Dimorphic Hemorrhoids,"There is a persistent issue with fever, and I'm concerned."
Hypertension,"While taking a walk, I suddenly started experiencing headache, chest pain, and dizziness after feeling fine all day. Since then, it has been challenging for me to concentrate and focus."
Cystic Fibrosis,I'm feeling discomfort due to salty skin.
Lupus,"It started with fever, but now it's spreading."
Cystic Fibrosis,I've seen signs of lung infections along with fatigue.
Diphtheria,"There is a persistent issue with rash, and I'm concerned."
Dengue,I have been experiencing a severe headache that is accompanied by pain behind my eyes. I feel tired and fatigued because of which I cannot work all day. I am worried about my health.
Raynaud's Disease,"Whenever I rest, the color changes in fingers seems to intensify."
Acne,The pain is affecting my daily life significantly.
Parkinson's Disease,I've seen signs of stiffness along with fatigue.
Hypertension,The chest discomfort is affecting my daily life significantly.
Chronic Kidney Disease,I feel like my kidneys are hurting on both sides of my back
Fungal Infection,"Lately, I noticed pain, which is unusual for me."
Migraine,"I have been experiencing acidity, indigestion, and headaches, as well as blurred and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance"
Peptic Ulcer Disease,"Whenever I rest, the fatigue seems to intensify."
Ehlers-Danlos Syndrome,"It started with easy bruising, but now it's spreading."
Crohn's Disease,I'm feeling discomfort due to diarrhea.
Meniere's Disease,My doctor mentioned that my nausea could be related to Meniere's Disease.
Sjogren's Syndrome,"Lately, I noticed fatigue, which is unusual for me."
Drug Reaction,"I struggle to maintain focus, and my mental clarity is really poor. I have trouble remembering things and frequently forget stuff."
Crohn's Disease,I've seen signs of rectal bleeding along with fatigue.
Ebola Virus,I’m severely dehydrated from constant vomiting and diarrhea
Dimorphic Hemorrhoids,"Lately, I noticed pain, which is unusual for me."
Psoriasis,I've seen signs of skin flaking along with fatigue.
Multiple Sclerosis,I'm feeling discomfort due to numbness.
Multiple Sclerosis,"There is a persistent issue with tingling, and I'm concerned."
Ebola Virus,I have pain and also noticed related problems recently.
Dimorphic Hemorrhoids,I'm having a lot of trouble with constipation and pain while trying to go to the bathroom. It hurts a lot in my anus and the area around it. My stool has been bloody and my anus is really irritated.
Sarcoidosis,I'm feeling discomfort due to swollen lymph nodes.
Lupus,The fatigue is affecting my daily life significantly.
Graves' Disease,"Lately, I noticed bulging eyes, which is unusual for me."
Parkinson's Disease,"Lately, I noticed stiffness, which is unusual for me."
Raynaud's Disease,My doctor mentioned that my numbness could be related to Raynaud's Disease.
Peptic Ulcer Disease,My doctor mentioned that my fatigue could be related to Peptic Ulcer Disease.
Hiv/Aids,"Whenever I rest, the fever seems to intensify."
Endometriosis,"It started with pelvic pain, but now it's spreading."
Endometriosis,I'm feeling discomfort due to pelvic pain.
Gastroesophageal Reflux Disease,"Belching and burping are common in me. I often get chest pain that radiates to the back of my neck, my jaw, and my arm. In my chest, there is pressure and stress."
Sarcoidosis,"Whenever I rest, the skin lesions seems to intensify."
Graves' Disease,I have irregular heartbeat and also noticed related problems recently.
Raynaud's Disease,"There is a persistent issue with color changes in fingers, and I'm concerned."
Graves' Disease,"Whenever I rest, the goiter seems to intensify."
Hypertension,"My balance has been off, and I have a headache, chest pain, and dizziness. I've also observed that it's hard for me to concentrate."
Multiple Sclerosis,"Lately, I noticed muscle weakness, which is unusual for me."
Urinary Tract Infection,My doctor mentioned that my rash could be related to Urinary Tract Infection.
Gastroesophageal Reflux Disease,"I often wake up with a sore throat or a scratchy voice. My throat hurts constantly, and I also have poor breath. I also frequently burp."
Chicken Pox,I have fever and also noticed related problems recently.
Ehlers-Danlos Syndrome,"It started with easy bruising, but now it's spreading."
Acute Lymphoblastic Leukaemia,There's some swelling in my neck and underarms that feels like swollen glands
Psoriasis,I have itchy red skin and also noticed related problems recently.
Arthritis,"It started with fatigue, but now it's spreading."
Diphtheria,I’m not coughing much but my throat feels blocked
Impetigo,"I'm running a high temperature. I've developed a rash on my face, neck, and arms. The rash consists of painful red lesions. My health is a concern for me."
Diabetes,I have a sluggish wound and reduced healing rate. My hands and feet are both numb and have this tingling sensation.
Dengue,"The fatigue I have been feeling is extreme and makes it difficult for me to perform even basic tasks. I feel vomitting and developed rashes on my arms, neck and legs. "
Arthritis,I'm feeling discomfort due to cough.
Peptic Ulcer Disease,"My hunger and appetite are persistent and ravenous. Periodically, my stomach may cramp and spasm. After eating, I have bloating and gas, which makes me quite uncomfortable."
Varicose Veins,The swelling in my legs is causing me to have difficulty fitting into my shoes. I can't sprint or stand for long periods of time. I can see some swollen blood vessels.
Graves' Disease,"Whenever I rest, the irregular heartbeat seems to intensify."
Dengue,The fatigue is affecting my daily life significantly.
Malaria,"There is a persistent issue with cough, and I'm concerned."
Drug Reaction,I have fatigue and also noticed related problems recently.
Peptic Ulcer Disease,"There is a persistent issue with fever, and I'm concerned."
Hepatitis B,"After sleeping all night, I still feel exhausted."
Urinary Tract Infection,I've seen signs of cough along with fatigue.
Lupus,I'm feeling discomfort due to joint pain.
Dengue,"There is a persistent issue with cough, and I'm concerned."
Ebola Virus,My skin looks pale and I’m covered in rash and bruises
Bladder Cancer,Occasionally my urine looks reddish but I’m not on any medications
Typhoid,I've been having a lot of trouble keeping hydrated because of the vomiting and diarrhea. There is a mild fever along with constipation and headache.
Ehlers-Danlos Syndrome,I'm feeling discomfort due to skin elasticity.
Chicken Pox,My doctor mentioned that my rash could be related to Chicken Pox.
Arthritis,"My neck has been really stiff, and I've had terrible muscle weakness. Due to the swelling in my joints, it has been challenging to move about. Walking has been quite unpleasant."
Multiple Sclerosis,My doctor mentioned that my vision loss could be related to Multiple Sclerosis.
Cushing's Syndrome,"It started with moon face, but now it's spreading."
Cystic Fibrosis,The salty skin is affecting my daily life significantly.
Malaria,"I have a high fever, chills, and severe itching. In addition, I have a headache and have been perspiring a lot. I've also been bothered by nausea and muscular ache."
Bronchial Asthma,I have fever and also noticed related problems recently.
Urinary Tract Infection,"I have pain in my lower abdomen, and get a buring sensation in my pee. I also have been getting low temperatures since I started to get these other symptoms. I have been weak because of this"
Jaundice,The pain is affecting my daily life significantly.
Multiple Sclerosis,I have balance problems and also noticed related problems recently.
Jaundice,"I have been suffering from itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I have also been experiencing abdominal pain"
Common Cold,"I've been quite exhausted and ill. My throat has been quite painful, and I've had a fairly nasty cough. I've got a lot of chills and a pretty high temperature. Just feeling extremely run down and weak"
Endometriosis,"It started with pain during sex, but now it's spreading."
Dengue,"There are rashes on my skin, which itch if I touch them. I don’t feel good as my joints pain whole day. At night, I have mild fever and get chills, because of which I can’t sleep too."
Gastroesophageal Reflux Disease,"I have a persistent sour taste in my mouth, even when I haven't eaten anything acidic. I get frequent hiccups and a feeling of lump in my throat."
Tuberculosis,My doctor mentioned that my weight loss could be related to Tuberculosis.
Urinary Tract Infection,"My urine often has a weird odour, is crimson or black in colour, and both. My body's temperature has been fluctuating often, which typically keeps me up at night."
Crohn's Disease,I've seen signs of weight loss along with fatigue.
Cervical Spondylosis,"I've been battling with back pain, a dry cough, and limb weakness. I've been feeling dizzy and unstable on my feet, and my neck hurts."
Hepatitis B,Sometimes my heart beats rapidly after eating.
Varicose Veins,My doctor mentioned that my fatigue could be related to Varicose Veins.
Urinary Tract Infection,I'm feeling discomfort due to pain.
Hepatitis B,I'm feeling discomfort due to cough.
Lupus,My doctor mentioned that my fever could be related to Lupus.
Cushing's Syndrome,"Lately, I noticed thin skin, which is unusual for me."
Sjogren's Syndrome,"There is a persistent issue with dry eyes, and I'm concerned."
Pneumonia,The fever is affecting my daily life significantly.
Diabetes,"I have breathing problems, especially when I'm outside. I'm suddenly flushed and perspiring. I experience yeast infections and urinary tract infections rather regularly."
Drug Reaction,"I've been having fatigue, and it's been getting worse."
Malaria,"I've been having rash, and it's been getting worse."
Multiple Sclerosis,I have vision loss and also noticed related problems recently.
Tuberculosis,"There is a persistent issue with coughing blood, and I'm concerned."
Typhoid,"I've been having a lot of difficulty breathing, and I feel like I'm constantly nauseous. I also have mild belly pain. It's been terrifying at times."
Endometriosis,"There is a persistent issue with painful periods, and I'm concerned."
Hepatitis B,My muscles ache even though I haven’t done much work.
Varicose Veins,"The swelling in my legs has gotten worse over the past few weeks. Now, a large number of veins are noticeable on my calves, which is making me worried."
Varicose Veins,Standing or walking for long periods of time has been causing a lot of pain in my legs. It feels like a cramp and becomes worse the longer I am on my feet.
Sarcoidosis,"I've been having skin lesions, and it's been getting worse."
Common Cold,"My sinuses feel stuffy, and my eyes have been quite red. I simply lack energy, and my throat has been really scratchy. Along with the swelling in my lymph nodes, I've also been coughing up a lot of phlegm."
Tuberculosis,I've seen signs of weight loss along with fatigue.
Cervical Spondylosis,"I've had terrible back pain, a persistent cough, and weakness in my arms and legs. I have issues with dizziness and balance loss, and my neck hurts."
Typhoid,"Lately, I noticed pain, which is unusual for me."
Hiv/Aids,My tongue feels white and patchy.
Psoriasis,"It started with joint pain, but now it's spreading."
Chicken Pox,I've seen signs of fever along with fatigue.
Hepatitis B,I'm feeling discomfort due to rash.
Dimorphic Hemorrhoids,I'm feeling discomfort due to fatigue.
Typhoid,"I'm having severe stomach pain and constipation. Every night, I get a headache and chills. The last few days have been really painful."
Hepatitis B,I've been running a low-grade fever with chills.
Arthritis,"I've been having fatigue, and it's been getting worse."
Lupus,"I've been having joint pain, and it's been getting worse."
Urinary Tract Infection,I have been having low temperatures and bloody pee since some days now. My head hurts like crazy and pee also smells very foul. I have almost no control on my peeing and get very sudden urges
Typhoid,"I have had a fever for the last couple of days. Now, I am starting to experience a severe pain in my stomach area and suffering from constipation."
Hiv/Aids,I've developed frequent ear infections.
Bladder Cancer,"I’m feeling more discomfort in my bones, especially when I move"
Tuberculosis,"Lately, I noticed coughing blood, which is unusual for me."
Cystic Fibrosis,I've seen signs of persistent cough along with fatigue.
Diabetes,"I have respiratory issues, especially when doing out. Unexpectedly, I'm sweating and flushed. I frequently have yeast infections and urinary tract infections"
Tuberculosis,"There is a persistent issue with weight loss, and I'm concerned."
Migraine,"There is a persistent issue with nausea, and I'm concerned."
Pneumonia,"I've been suffering with chills, tiredness, and a cough recently. I've been sweating tremendously and feeling overall unwell and weak. I've also had some thick, black phlegm. My chest aches, and my heart has been racing."
Common Cold,I'm feeling discomfort due to fatigue.
Raynaud's Disease,I've seen signs of color changes in fingers along with fatigue.
Diphtheria,I'm feeling discomfort due to rash.
Tuberculosis,"Whenever I rest, the chest pain seems to intensify."
Hiv/Aids,I’ve had vision problems recently and eye pain.
Acute Lymphoblastic Leukaemia,My heart beats fast even when I’m just sitting or lying down
Impetigo,I'm feeling discomfort due to rash.
Fungal Infection,"My skin always itches, and occasionally it becomes quite rough and red. In addition, I occasionally get little pimples that resemble tiny balls and certain spots that are a different colour from the rest of my skin. It severely irritates me and itches."
Ehlers-Danlos Syndrome,"There is a persistent issue with skin elasticity, and I'm concerned."
Hiv/Aids,I experience joint pain randomly during the day.
Myasthenia Gravis,The muscle weakness is affecting my daily life significantly.
Chronic Kidney Disease,I'm feeling discomfort due to fatigue.
Ehlers-Danlos Syndrome,"Lately, I noticed chronic pain, which is unusual for me."
Gastroesophageal Reflux Disease,"I have a loss of appetite and difficulty swallowing. I often have this persistent feeling of fullness, even after eating small meals. I usually throw up and get heartburn and a tingling sensation in my throat"
Meniere's Disease,I have hearing loss and also noticed related problems recently.
Acute Lymphoblastic Leukaemia,I threw up yesterday without feeling sick beforehand
Bladder Cancer,I have cough and also noticed related problems recently.
Parkinson's Disease,"I've been having stiffness, and it's been getting worse."
Acute Lymphoblastic Leukaemia,Even a small bump causes a huge bruise that takes forever to heal
Graves' Disease,I have weight loss and also noticed related problems recently.
Pneumonia,I can't seem to get enough air and I'm sweating a lot. I don't feel well and there's a lot of phlegm in my throat. My chest hurts and my heart is racing. The mucus I'm coughing up is reddish in color.
Diphtheria,"Whenever I rest, the fatigue seems to intensify."
Psoriasis,"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails."
Urinary Tract Infection,"I've been having frequent, strong, sudden urges to urinate. I occasionally urinate with blood in it, and the stench is horrible. What ought I to do if I think I'm infected?"
Pneumonia,"I've recently been suffering with chills, lethargy, a cough, a high temperature, and difficulties breathing. I've been sweating profusely and generally feeling ill and weak. I've also had some quite thick and red phlegm."
Ebola Virus,My throat is extremely sore and painful to swallow
Cushing's Syndrome,The thin skin is affecting my daily life significantly.
Migraine,"It started with aura, but now it's spreading."
Ehlers-Danlos Syndrome,"It started with chronic pain, but now it's spreading."
Multiple Sclerosis,I'm feeling discomfort due to vision loss.
Meniere's Disease,"I've been having hearing loss, and it's been getting worse."
Peptic Ulcer Disease,"It started with fatigue, but now it's spreading."
Hypertension,"It started with high blood pressure, but now it's spreading."
Graves' Disease,The anxiety is affecting my daily life significantly.
Peptic Ulcer Disease,I'm feeling discomfort due to fever.
Hypertension,"Whenever I rest, the high blood pressure seems to intensify."
Endometriosis,I'm feeling discomfort due to fatigue.
Cushing's Syndrome,"I've been having moon face, and it's been getting worse."
Cervical Spondylosis,I've seen signs of cough along with fatigue.
Chicken Pox,"I've been suffering from severe itching all over my body, along with a fever and headache. The red spots are starting to swell and it is getting really uncomfortable every day."
Malaria,I have cough and also noticed related problems recently.
Acute Lymphoblastic Leukaemia,I sometimes get splitting headaches that don’t improve with rest or medicine
Acne,The rash is affecting my daily life significantly.
Jaundice,I have fever and also noticed related problems recently.
Drug Reaction,"Whenever I rest, the fatigue seems to intensify."
Jaundice,"It started with pain, but now it's spreading."
Sarcoidosis,The skin lesions is affecting my daily life significantly.
Peptic Ulcer Disease,"On occasion, throughout the day or at night, I have burning in my upper abdomen. I frequently get extreme nauseous episodes, heartburn, and indigestion."
Common Cold,"Lately, I noticed cough, which is unusual for me."
Urinary Tract Infection,"There is a persistent issue with pain, and I'm concerned."
Hypertension,I'm feeling discomfort due to high blood pressure.
Chronic Kidney Disease,I'm easily out of breath after climbing stairs
Sarcoidosis,I have shortness of breath and also noticed related problems recently.
Impetigo,"I have been developing sores on my face and nose area. I am not sure what is causing this. The sores on my face are swollen and tender to the touch, and I have a burning sensation and redness of the skin."
Ehlers-Danlos Syndrome,"Whenever I rest, the fatigue seems to intensify."
Hiv/Aids,My skin breaks out in pimples or bumps often.
Acne,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
Bladder Cancer,"I’ve been going to the bathroom more often than usual, even at night"
Hepatitis B,The fatigue is affecting my daily life significantly.
Sjogren's Syndrome,I have fatigue and also noticed related problems recently.
Ebola Virus,There’s intense pain behind my eyes along with fever
Bronchial Asthma,"I've been having rash, and it's been getting worse."
Pneumonia,"I'm sweating profusely and finding it difficult to catch my breath. I feel quite ill, and my throat is very mucous. My heart is pounding, and my chest aches. I'm coughing up thick mucous that resembles rust."
Psoriasis,"I've been having nail pitting, and it's been getting worse."
Peptic Ulcer Disease,"I have persistant, gnawing hunger and apetite. Sometimes I get abdominal cramps and spasms. There is bloating and gas after eating which causes me a great deal of uneasiness"
Dengue,I have been feeling nauseous and have a constant urge to vomit. There is a strong pain behind my eyes and there are small red spots all over my arms.
Dengue,"My joints and back pain everyday. I feel like vomitting and this has made me very weak. Because of my body pain, I am not able to focus on my work and don’t feel like doing anything."
Arthritis,"I've been having pain, and it's been getting worse."
Dengue,The pain is affecting my daily life significantly.
Jaundice,"Lately, I noticed fever, which is unusual for me."
Sarcoidosis,"Whenever I rest, the shortness of breath seems to intensify."
Chicken Pox,My doctor mentioned that my fatigue could be related to Chicken Pox.
ALS,"Whenever I rest, the muscle cramps seems to intensify."
Sjogren's Syndrome,The dry mouth is affecting my daily life significantly.
Impetigo,"There is a persistent issue with fatigue, and I'm concerned."
Migraine,"I have been feeling hungry all the time and have had a sore neck, as well as problems with my vision."
Arthritis,"I've been having pain, and it's been getting worse."
Meniere's Disease,I'm feeling discomfort due to hearing loss.
Cushing's Syndrome,My doctor mentioned that my moon face could be related to Cushing's Syndrome.
Multiple Sclerosis,"There is a persistent issue with tingling, and I'm concerned."
Chronic Kidney Disease,I’ve lost weight and feel weak despite not making any diet changes
Pneumonia,"I've recently had chills, exhaustion, a cough, a high temperature, and breathing issues. I've been perspiring a lot and generally feeling weak and ill. I've had some quite thick and black phlegm. My heart has been racing quite quickly."
Cystic Fibrosis,I have digestive issues and also noticed related problems recently.
Migraine,"I've been having visual disturbances, and it's been getting worse."
Allergy,"I have stomach cramps, nausea and diarrhea. My throat is swollen, and I have difficulty breathing. Sometimes at night night I get chest pain and nauseous."
Varicose Veins,"There is a persistent issue with fatigue, and I'm concerned."
Hypertension,"I've been experiencing balance issues, a headache, chest pain, and dizziness. My ability to concentrate and focus has also been challenging."
Graves' Disease,I have irregular heartbeat and also noticed related problems recently.
Psoriasis,"It started with skin flaking, but now it's spreading."
Arthritis,"Lately, I noticed cough, which is unusual for me."
Allergy,"Lately, I noticed cough, which is unusual for me."
Migraine,"Lately, I noticed nausea, which is unusual for me."
Pneumonia,"My temperature is very high, and I'm having a hard time breathing. I'm sweating profusely, and I'm shaking with chills. I'm really tired, and my heart is beating really fast. I also have some brownish phlegm coming up"
Sjogren's Syndrome,"I've been having swollen salivary glands, and it's been getting worse."
Arthritis,"There is a persistent issue with fever, and I'm concerned."
Cervical Spondylosis,I have fever and also noticed related problems recently.
Lupus,My doctor mentioned that my joint pain could be related to Lupus.
Raynaud's Disease,I have tingling and also noticed related problems recently.
Hepatitis B,"Whenever I rest, the rash seems to intensify."
Parkinson's Disease,"There is a persistent issue with speech changes, and I'm concerned."
Hiv/Aids,"It started with rash, but now it's spreading."
Pneumonia,"I have a really high fever, and I have problems breathing. My heart is racing quite quickly, I'm perspiring a lot, and I feel chilly and exhausted. I'm also about to cough out some brownish phlegm."
Gastroesophageal Reflux Disease,"Whenever I rest, the cough seems to intensify."
Diphtheria,I'm having trouble breathing normally and sometimes breathe very fast
Psoriasis,My doctor mentioned that my joint pain could be related to Psoriasis.
Urinary Tract Infection,"There is a persistent issue with fatigue, and I'm concerned."
Diabetes,"I have rashes and skin irritations, especially in the crevices of my skin. My skin bruises and cuts also take a long time to heal."
Ebola Virus,"I've been having rash, and it's been getting worse."
Hepatitis B,I feel pain around my belly and it comes and goes.
Acute Lymphoblastic Leukaemia,The cough is affecting my daily life significantly.
Ehlers-Danlos Syndrome,"Whenever I rest, the skin elasticity seems to intensify."
Typhoid,"I have been experiencing chills and fever, along with severe abdominal pain. I've been feeling really miserable overall, and I just can't seem to shake these symptoms."
Diabetes,The slow healing wounds is affecting my daily life significantly.
Dimorphic Hemorrhoids,"It started with fever, but now it's spreading."
Chronic Kidney Disease,"I’ve been urinating more often than usual, especially at night"
Common Cold,"Lately, I noticed fever, which is unusual for me."
Dengue,My doctor mentioned that my cough could be related to Dengue.
Malaria,"There is a persistent issue with cough, and I'm concerned."
Graves' Disease,"I've been having goiter, and it's been getting worse."
Multiple Sclerosis,"Whenever I rest, the numbness seems to intensify."
Meniere's Disease,"Whenever I rest, the tinnitus seems to intensify."
Hepatitis B,I've seen signs of fever along with fatigue.
Myasthenia Gravis,I've seen signs of difficulty swallowing along with fatigue.
Endometriosis,"Whenever I rest, the infertility seems to intensify."
Bronchial Asthma,"Lately, I noticed cough, which is unusual for me."
Cystic Fibrosis,I'm feeling discomfort due to poor growth.
Ebola Virus,There’s a persistent pain in my lower back and sides
Diphtheria,My doctor mentioned that my pain could be related to Diphtheria.
Psoriasis,"Lately, I noticed joint pain, which is unusual for me."
Common Cold,"I feel quite weak, and my lymph nodes are enlarged. My eyes are burning, and my throat hurts. My sinuses are under strain, and my nose is stuffy. I can't smell anything, and my chest hurts."
Drug Reaction,"My skin occasionally peels off the rashes that I have. This makes me more vulnerable to infections. My hands begin to shake, and occasionally I have tremors."
Arthritis,My doctor mentioned that my cough could be related to Arthritis.
Jaundice,"I've had nausea, vomiting, and exhaustion. Additionally, I've lost weight and have a temperature. My urine is black and my skin has turned yellow. I've also been having stomach pain."
Typhoid,"It started with fever, but now it's spreading."
Cushing's Syndrome,"It started with muscle weakness, but now it's spreading."
Jaundice,"I've been feeling scratchy, sick, and worn out. I also had a high fever and lost weight. Both my skin and my urine have become yellow. Additional stomach pain that I've been having"
Gastroesophageal Reflux Disease,The cough is affecting my daily life significantly.
Ehlers-Danlos Syndrome,I'm feeling discomfort due to easy bruising.
Common Cold,"My cough and cold have been awful for days. My sinuses are congested, and my face is under strain. Additionally, I've been coughing up phlegm, and it hurts in my chest. I have no sense of smell, and my muscles hurt a lot."
Crohn's Disease,The diarrhea is affecting my daily life significantly.
Myasthenia Gravis,"There is a persistent issue with muscle weakness, and I'm concerned."
Hepatitis B,"I've been having fatigue, and it's been getting worse."
Meniere's Disease,"It started with nausea, but now it's spreading."
Jaundice,I'm feeling discomfort due to fever.
Sarcoidosis,I've seen signs of skin lesions along with fatigue.
Malaria,"Strong itchiness, chills, nausea, and a high fever are all part of my current condition. Besides having a headache, I've been perspiring a lot. I've been bothered by nausea as well as muscle ache."
Multiple Sclerosis,"Lately, I noticed balance problems, which is unusual for me."
Myasthenia Gravis,The double vision is affecting my daily life significantly.
Acne,I've been having a very unhealthy rash on my skin latterly. It's filled with pus-filled pimples and blackheads. My skin has additionally been scurring heaps.
Diabetes,I have persistent dry cough. My infections dont seem to be healing and I have palpitations. I also have this problem of sore throat that does seem to go away
Acute Lymphoblastic Leukaemia,I’ve vomited a couple of times recently without any clear reason
Varicose Veins,"There is a persistent issue with rash, and I'm concerned."
Graves' Disease,I've seen signs of bulging eyes along with fatigue.
Psoriasis,"I am starting to have rashes on my arms and neck. The rash often bleeds and hurts when I scratch it. I have also developed small dents in my nails, which is very strange."
Sjogren's Syndrome,I have swollen salivary glands and also noticed related problems recently.
Impetigo,I have rash and also noticed related problems recently.
Hypertension,"Along with a head pain, chest pain, instability, and balance issues, I've also been feeling unwell. I also think I'm having problems focusing."
Migraine,"I have been experiencing acidity, indigestion, headaches, and blurred and distorted vision, as well as excessive hunger, a stiff neck, depression, irritability, and visual disturbance. These symptoms have been affecting my daily life and causing me discomfort."
Tuberculosis,Even cold drinks make me shiver.
ALS,My doctor mentioned that my limb weakness could be related to ALS.
Ebola Virus,"I've been having cough, and it's been getting worse."
Psoriasis,"It started with joint pain, but now it's spreading."
Malaria,"I have a high fever, severe itching, chills, and vomiting. I also have a headache and have been perspiring a lot. Additionally hurting me have been nausea and muscle soreness."
Cervical Spondylosis,"I have been suffering from back pain, a hacking cough, and weakness in my arms and legs. Additionally, my neck hurts and I have had issues with dizziness and maintaining my balance."
Sarcoidosis,I've seen signs of shortness of breath along with fatigue.
Meniere's Disease,The hearing loss is affecting my daily life significantly.
Diabetes,"I've been having frequent urination, and it's been getting worse."
Acne,I have fever and also noticed related problems recently.
Myasthenia Gravis,"Whenever I rest, the drooping eyelids seems to intensify."
Hepatitis B,The area around my liver feels swollen and tight.
Dengue,"It started with fatigue, but now it's spreading."
Migraine,"Along with distorted eyesight, excessive appetite, a painful neck, melancholy, irritability, and regular headaches, I have also been experiencing acid reflux, indigestion, and regular headaches."
Jaundice,My doctor mentioned that my fatigue could be related to Jaundice.
ALS,The difficulty swallowing is affecting my daily life significantly.
Hiv/Aids,"Whenever I rest, the pain seems to intensify."
Fungal Infection,"There is a persistent issue with fatigue, and I'm concerned."
Tuberculosis,"It started with coughing blood, but now it's spreading."
Peptic Ulcer Disease,"Occasionally throughout the day or at night, I have burning in my upper abdomen. I get indigestion, heartburn, and frequent bouts of extreme nausea."
Myasthenia Gravis,I'm feeling discomfort due to muscle weakness.
ALS,My doctor mentioned that my limb weakness could be related to ALS.
Fungal Infection,"I've been experiencing a lot of itching on my skin, and sometimes it turns into a rash. There are also some strange patches of skin that are a different color than the rest of me, and sometimes I get little bumps that look like nodules."
Drug Reaction,"There is a persistent issue with cough, and I'm concerned."
Sjogren's Syndrome,I'm feeling discomfort due to dry mouth.
Hiv/Aids,I’ve had night sweats and unexplained weight loss.
Meniere's Disease,"Whenever I rest, the vertigo seems to intensify."
Acne,I awoke this morning to see that I had a horrible rash all over my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
Varicose Veins,"The skin around the veins on my legs is red, inflamed, and itchy. It is causing a lot of discomforts and I am starting to get regular cramps."
Tuberculosis,I get dizzy after standing up due to the fatigue.
Parkinson's Disease,I have stiffness and also noticed related problems recently.
Sjogren's Syndrome,"Lately, I noticed dry mouth, which is unusual for me."
Ebola Virus,The rash is affecting my daily life significantly.
Cushing's Syndrome,"It started with purple stretch marks, but now it's spreading."
ALS,"I've been having limb weakness, and it's been getting worse."
Chicken Pox,I have red spots on my arms and legs and itching them makes it difficult for me to sleep at night. I also have severe headaches and a mild fever.
Myasthenia Gravis,"Lately, I noticed difficulty swallowing, which is unusual for me."
ALS,"There is a persistent issue with limb weakness, and I'm concerned."
ALS,I have muscle cramps and also noticed related problems recently.
Hypertension,The vision problems is affecting my daily life significantly.
Arthritis,I've seen signs of cough along with fatigue.
Bronchial Asthma,"I feel really fatigued and weak, and I have a bad cough. My fever is really high, and my breathing has become shallow. When I cough, a lot of saliva comes out as well."
Varicose Veins,The rash is affecting my daily life significantly.
Psoriasis,"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful."
Hypertension,"My coordination has been off, and I've been experiencing a headache, chest pain, and dizziness. Additionally, I've had trouble concentrating and focusing."
Myasthenia Gravis,"It started with double vision, but now it's spreading."
Peptic Ulcer Disease,"Lately, I noticed fatigue, which is unusual for me."
Chicken Pox,"I have swollen lymph nodes and red spots all over my body, and they are causing discomfort. I also have a mild fever and feel tired most of the time."
Pneumonia,"I've recently been suffering with chills, lethargy, a cough, a high temperature, and difficulties breathing. I've been sweating profusely and generally feeling ill and weak. I've also had some quite thick and black phlegm."
Fungal Infection,"I've been quite itchy recently, and I have rashy patches all over my skin. There are also certain regions that are darker in colour than the rest of my skin, and I've got some firm lumps."
Diabetes,"It started with increased thirst, but now it's spreading."
Tuberculosis,I wake up multiple times a night drenched in sweat.
Fungal Infection,"I've been having this constant itch and there are these red and bumpy spots on my skin. There are also some patches that are a different color than the rest of my skin, and I've had some bumps that are kind of like little lumps."
Acute Lymphoblastic Leukaemia,"There is a persistent issue with fatigue, and I'm concerned."
Hypertension,"Whenever I rest, the chest discomfort seems to intensify."
Drug Reaction,"I have rashes on my back and chest, and my entire body itches. My skin may be dry and flaky at times, which frequently leaves body marks."
Dimorphic Hemorrhoids,"I've recently been suffering from constipation and digestive discomfort. My anus is quite painful, and it has been bleeding whenever I go. It's excruciatingly painful, and I'm quite uneasy."
Migraine,"Acidity and indigestion are among the digestive problems I've been having, along with regular headaches, blurred vision, increased hunger, stiff neck, sadness, impatience, and visual disruption."
Crohn's Disease,The fatigue is affecting my daily life significantly.
Allergy,"Along with losing my appetite, I've been having swallowing issues. I have a sore throat, and my nose has been running."
Hypertension,The chest discomfort is affecting my daily life significantly.
Drug Reaction,I'm feeling discomfort due to fever.
Hepatitis B,I feel discomfort under my right ribs like pressure in my liver.
Acute Lymphoblastic Leukaemia,I feel tingling and numbness in my hands especially at night
Impetigo,I have pain and also noticed related problems recently.
Chronic Kidney Disease,I feel confused or foggy-headed during the day
Drug Reaction,The pain is affecting my daily life significantly.
Meniere's Disease,"I've been having nausea, and it's been getting worse."
Hypertension,"I have been experiencing symptoms such as a headache, chest pain, dizziness, loss of balance, and difficulty focusing."
Sarcoidosis,I've seen signs of swollen lymph nodes along with fatigue.
Malaria,I've seen signs of pain along with fatigue.
Drug Reaction,"It started with fever, but now it's spreading."
